Tag,Metadata,Flow,Phrasing,Sectioning,Heading,Embedded,Interactive,
a,,○,○,,,,○,
abbr,,○,○,,,,,
address,,○,,,,,,
area,,if it is a descendant of a map element,if it is a descendant of a map element,,,,,
article,,○,,○,,,,
aside,,○,,○,,,,
audio,,○,○,,,○,if the controls attribute is present,
b,,○,○,,,,,
base,○,,,,,,,
bdi,,○,○,,,,,
bdo,,○,○,,,,,
blockquote,,○,,,,,,
br,,○,○,,,,,
button,,○,○,,,,○,
canvas,,○,○,,,○,,
cite,,○,○,,,,,
code,,○,○,,,,,
data,,○,○,,,,,
datalist,,○,○,,,,,
del,,○,○,,,,,
details,,○,,,,,○,
dfn,,○,○,,,,,
dialog,,○,,,,,,
div,,○,,,,,,
dl,,○,,,,,,
em,,○,○,,,,,
embed,,○,○,,,○,○,
fieldset,,○,,,,,,
figure,,○,,,,,,
footer,,○,,,,,,
form,,○,,,,,,
h1,,○,,,○,,,
h2,,○,,,○,,,
h3,,○,,,○,,,
h4,,○,,,○,,,
h5,,○,,,○,,,
h6,,○,,,○,,,
header,,○,,,,,,
hr,,○,,,,,,
i,,○,○,,,,,
iframe,,○,○,,,○,○,
img,,○,○,,,○,if the usemap attribute is present,
input,,○,○,,,,if the type attribute is not in the hidden state,
ins,,○,○,,,,,
kbd,,○,○,,,,,
keygen,,○,○,,,,○,
label,,○,○,,,,○,
link,○,,,,,,,
main,,○,,,,,,
map,,○,○,,,,,
mark,,○,○,,,,,
math,,○,○,,,○,,
meta,○,○,○,,,,,
nav,,○,,○,,,,
noscript,○,○,○,,,,,
object,,○,○,,,○,if the usemap attribute is present,
ol,,○,,,,,,
output,,○,○,,,,,
p,,○,,,,,,
pre,,○,,,,,,
progress,,○,○,,,,,
q,,○,○,,,,,
ruby,,○,○,,,,,
s,,○,○,,,,,
samp,,○,○,,,,,
script,○,○,○,,,,,
section,,○,,○,,,,
select,,○,○,,,,○,
small,,○,○,,,,,
span,,○,○,,,,,
strong,,○,○,,,,,
style,○,if the scoped attribute is present,,,,,,
sub,,○,○,,,,,
sup,,○,○,,,,,
svg,,○,○,,,○,,
table,,○,,,,,,
text,,○,○,,,,,
textarea,,○,○,,,,○,
time,,○,○,,,,,
title,○,,,,,,,
u,,○,○,,,,,
ul,,○,,,,,,
var,,○,○,,,,,
video,,○,○,,,○,if the controls attribute is present,
wbr,,○,○,,,,,